Transaction_ID,Transaction_Date,Revenue,Expenses,Profit,Category,Region,Department,Product_Line,Customer_Segment,Payment_Method,Discount
TXN0044,02-08-2023,14216,24557,-10341,Sales,Africa,IT,Electronics,SMB,Cash,24%
TXN0045,18-08-2023,38852,13378,25474,HR,North America,IT,Healthcare,SMB,Cash,22%
TXN0046,05-04-2022,6458,20646,-14188,R&D,South America,Operations,Software,SMB,Cash,24%
TXN0047,27-09-2023,10192,17813,-7621,Marketing,North America,IT,Healthcare,SMB,Credit Card,5%
TXN0048,17-09-2023,10781,20614,-9833,R&D,North America,IT,Healthcare,B2B,Credit Card,9%
TXN0049,07-09-2023,30958,19737,11221,Sales,Africa,Marketing,Software,B2B,PayPal,27%
TXN0050,10-09-2023,43631,26472,17159,HR,Africa,IT,Furniture,Enterprise,Cash,2%
TXN0051,08-12-2023,39323,11424,27899,Operations,Africa,Marketing,Electronics,SMB,PayPal,0%
TXN0052,23-11-2023,27062,9556,17506,Operations,North America,IT,Healthcare,B2C,Credit Card,15%
TXN0053,31-08-2022,32886,28080,4806,R&D,Africa,HR,Furniture,B2C,Cash,26%
TXN0054,04-10-2023,45086,18227,26859,R&D,Africa,Sales,Software,SMB,Bank Transfer,21%
TXN0055,09-03-2023,26010,25038,972,R&D,Europe,Marketing,Furniture,B2C,Cash,28%
TXN0056,08-02-2023,39327,26364,12963,Marketing,Africa,Operations,Clothing,SMB,PayPal,4%
TXN0057,10-06-2023,47439,6733,40706,Marketing,Africa,IT,Software,B2C,Credit Card,24%
TXN0058,15-07-2022,13241,7352,5889,R&D,Africa,IT,Clothing,B2B,Cash,11%
TXN0059,16-04-2022,30230,3704,26526,Sales,North America,IT,Furniture,SMB,Bank Transfer,2%
TXN0060,27-04-2023,18353,16059,2294,Operations,Asia-Pacific,Sales,Electronics,B2B,PayPal,9%
TXN0061,27-10-2023,41284,22542,18742,R&D,Africa,Sales,Electronics,SMB,Cash,0%
TXN0062,10-06-2023,35620,24298,11322,R&D,Europe,IT,Clothing,SMB,Credit Card,14%
TXN0063,09-09-2022,30168,24997,5171,HR,Europe,Sales,Healthcare,SMB,Cash,9%
TXN0064,29-09-2022,39801,21226,18575,R&D,Africa,Operations,Healthcare,SMB,Bank Transfer,10%
TXN0065,08-10-2022,35697,10827,24870,R&D,Africa,Sales,Electronics,B2C,PayPal,18%
TXN0066,22-05-2023,25794,15941,9853,HR,Europe,IT,Clothing,B2C,Cash,22%
TXN0067,29-10-2023,15050,4854,10196,Sales,Europe,IT,Electronics,B2B,Credit Card,3%
TXN0068,10-01-2022,19647,8556,11091,R&D,North America,Sales,Furniture,SMB,Credit Card,12%
TXN0069,01-07-2022,7634,21298,-13664,R&D,Africa,IT,Clothing,Enterprise,Bank Transfer,7%
TXN0070,06-04-2023,11131,29465,-18334,Sales,Africa,Finance,Software,SMB,Bank Transfer,22%
TXN0071,27-02-2023,26553,3546,23007,R&D,North America,Finance,Healthcare,B2B,Credit Card,23%
TXN0072,08-07-2022,39632,24268,15364,R&D,Asia-Pacific,IT,Healthcare,Enterprise,Credit Card,6%
TXN0073,22-05-2023,29946,7691,22255,R&D,North America,IT,Healthcare,SMB,Cash,3%
TXN0074,09-12-2022,34565,25995,8570,R&D,Africa,IT,Software,SMB,Cash,18%
TXN0075,11-10-2022,25240,10423,14817,Marketing,Africa,Marketing,Healthcare,SMB,Cash,28%
TXN0076,16-04-2023,43855,24091,19764,R&D,Africa,Operations,Furniture,B2C,Bank Transfer,28%
TXN0077,12-05-2023,18903,19685,-782,Marketing,Africa,Operations,Clothing,Enterprise,Credit Card,18%
TXN0078,11-07-2023,35656,14122,21534,HR,Africa,IT,Healthcare,B2B,Cash,6%
TXN0079,02-10-2022,19193,10516,8677,R&D,South America,Operations,Clothing,B2B,PayPal,5%
TXN0080,15-02-2022,20262,18926,1336,Operations,North America,Marketing,Healthcare,Enterprise,Cash,16%
TXN0081,24-02-2022,15668,25755,-10087,Marketing,Europe,Finance,Electronics,SMB,Credit Card,19%
TXN0082,04-08-2023,35158,3802,31356,Sales,Africa,Sales,Furniture,B2C,Credit Card,15%
TXN0083,01-09-2023,11338,19451,-8113,R&D,Africa,Sales,Clothing,SMB,PayPal,4%
TXN0084,02-01-2022,10187,17432,-7245,Marketing,Asia-Pacific,Marketing,Healthcare,SMB,Cash,22%
TXN0085,02-08-2023,49322,21537,27785,R&D,Africa,Sales,Healthcare,SMB,Credit Card,6%
TXN0086,20-05-2022,9900,14929,-5029,R&D,Europe,HR,Healthcare,SMB,Credit Card,21%
TXN0087,31-03-2022,22151,6699,15452,R&D,Europe,IT,Healthcare,SMB,Credit Card,26%
TXN0088,31-05-2023,33235,15204,18031,R&D,South America,IT,Electronics,B2B,Credit Card,8%
TXN0089,27-12-2022,20601,4375,16226,R&D,Africa,Operations,Healthcare,SMB,Cash,3%
TXN0090,06-11-2023,18068,17391,677,Sales,Africa,Sales,Furniture,B2C,Bank Transfer,13%
TXN0091,01-06-2023,29731,25725,4006,HR,South America,Marketing,Healthcare,B2B,Bank Transfer,7%
TXN0092,18-08-2022,36514,4123,32391,Sales,North America,Sales,Clothing,B2B,Credit Card,29%
TXN0093,31-01-2022,27660,21883,5777,Operations,Africa,Operations,Healthcare,Enterprise,Credit Card,6%
TXN0094,29-12-2023,27099,27518,-419,Sales,Asia-Pacific,IT,Furniture,SMB,PayPal,14%
TXN0095,16-12-2022,11696,11240,456,R&D,Africa,Sales,Software,B2B,PayPal,22%
TXN0096,17-01-2023,5551,15554,-10003,Operations,Asia-Pacific,IT,Healthcare,B2C,Credit Card,24%
TXN0097,23-11-2023,28434,3581,24853,Sales,Europe,IT,Furniture,B2B,Cash,14%
TXN0098,10-09-2022,16244,29130,-12886,Sales,North America,Sales,Healthcare,B2C,PayPal,18%
TXN0099,06-08-2022,19974,20270,-296,Marketing,Africa,Operations,Electronics,B2C,Cash,11%
TXN0100,09-12-2022,34750,15040,19710,HR,Europe,Sales,Software,SMB,Credit Card,1%
TXN0101,09-06-2022,35015,27306,7709,R&D,Africa,IT,Software,SMB,PayPal,22%
TXN0102,26-04-2023,36220,25094,11126,Sales,North America,IT,Healthcare,SMB,Cash,16%
TXN0103,14-11-2023,8484,26783,-18299,Operations,Europe,Finance,Healthcare,SMB,Credit Card,10%
TXN0104,23-01-2022,21845,28714,-6869,R&D,Europe,IT,Electronics,B2C,Credit Card,23%
TXN0105,19-04-2023,14115,3834,10281,R&D,South America,IT,Clothing,B2B,PayPal,13%
TXN0106,07-03-2022,20560,18829,1731,R&D,South America,HR,Software,SMB,PayPal,0%
TXN0107,18-05-2023,11696,9206,2490,Sales,Europe,HR,Clothing,SMB,Cash,21%
TXN0108,07-05-2023,40725,17713,23012,Operations,Africa,Finance,Healthcare,SMB,Cash,2%
TXN0109,07-11-2022,18978,13932,5046,HR,North America,IT,Software,SMB,Cash,4%
TXN0110,20-08-2023,5553,9387,-3834,Sales,North America,Operations,Electronics,Enterprise,PayPal,4%
TXN0111,11-10-2022,20635,25657,-5022,R&D,North America,Finance,Healthcare,B2B,PayPal,19%
TXN0112,21-03-2022,45952,28381,17571,R&D,Europe,IT,Clothing,SMB,Credit Card,12%
TXN0113,28-06-2023,29183,22570,6613,R&D,Asia-Pacific,IT,Software,SMB,Cash,15%
TXN0114,31-03-2022,6154,29850,-23696,Marketing,North America,IT,Healthcare,SMB,Bank Transfer,19%
TXN0115,05-04-2022,48000,20671,27329,Marketing,Africa,Finance,Clothing,B2B,Cash,3%
TXN0116,23-08-2022,27957,21829,6128,Marketing,Africa,Sales,Healthcare,SMB,Cash,7%
TXN0117,08-11-2023,43742,11256,32486,Sales,Europe,Marketing,Software,B2C,Cash,25%
TXN0118,14-03-2022,37356,26354,11002,R&D,Africa,Marketing,Furniture,B2B,Credit Card,2%
TXN0119,10-10-2023,7517,25080,-17563,Operations,North America,IT,Electronics,SMB,PayPal,15%
TXN0120,02-06-2022,28136,19515,8621,R&D,Asia-Pacific,Marketing,Furniture,Enterprise,PayPal,24%
TXN0121,19-11-2023,7447,23304,-15857,R&D,Asia-Pacific,IT,Electronics,Enterprise,Bank Transfer,12%
TXN0122,22-04-2023,19378,14922,4456,Operations,Africa,IT,Healthcare,SMB,Cash,25%
TXN0123,26-01-2022,35366,24895,10471,Marketing,Africa,IT,Healthcare,Enterprise,Credit Card,21%
TXN0124,06-09-2022,29064,15879,13185,Marketing,Africa,IT,Clothing,Enterprise,Cash,0%
TXN0125,19-08-2022,28423,5381,23042,Marketing,Asia-Pacific,Sales,Healthcare,B2B,Cash,5%
TXN0126,05-09-2023,36598,5456,31142,HR,Asia-Pacific,Finance,Electronics,SMB,Cash,27%
TXN0127,26-03-2023,34319,23906,10413,R&D,Africa,IT,Electronics,SMB,Credit Card,6%
TXN0128,28-04-2022,14562,5291,9271,R&D,South America,IT,Electronics,SMB,Bank Transfer,20%
TXN0129,16-06-2022,12928,27310,-14382,R&D,North America,IT,Clothing,SMB,Bank Transfer,23%
TXN0130,04-02-2023,47558,23982,23576,R&D,Africa,Sales,Furniture,B2C,Credit Card,11%
TXN0131,28-03-2022,44051,10723,33328,HR,Europe,IT,Software,B2B,Bank Transfer,22%
TXN0132,10-09-2022,14318,18938,-4620,Sales,North America,Finance,Healthcare,SMB,Cash,14%
TXN0133,03-11-2023,27382,17574,9808,HR,Africa,IT,Furniture,SMB,Credit Card,4%
TXN0134,24-03-2022,10381,17615,-7234,R&D,Europe,Marketing,Electronics,SMB,Cash,6%
TXN0135,03-06-2022,48430,29510,18920,R&D,Africa,IT,Clothing,B2B,Credit Card,16%
TXN0136,30-10-2023,41011,11523,29488,Sales,North America,Marketing,Healthcare,SMB,Cash,3%
TXN0137,21-04-2022,5365,16520,-11155,Marketing,Africa,HR,Electronics,SMB,Bank Transfer,23%
TXN0138,01-06-2023,28829,23697,5132,R&D,North America,Sales,Electronics,SMB,Credit Card,8%
TXN0139,24-05-2023,40629,22043,18586,Operations,Africa,Sales,Electronics,SMB,Credit Card,9%
TXN0140,25-04-2023,28763,26305,2458,R&D,Africa,IT,Software,B2B,Credit Card,19%
TXN0141,05-06-2023,37803,17092,20711,R&D,North America,IT,Clothing,SMB,Credit Card,21%
TXN0142,18-04-2023,10930,28288,-17358,Marketing,Europe,IT,Electronics,SMB,Cash,0%
TXN0143,16-09-2022,40539,22551,17988,R&D,Africa,HR,Healthcare,Enterprise,Cash,4%
TXN0144,12-10-2023,28794,15294,13500,Marketing,Asia-Pacific,IT,Healthcare,SMB,Credit Card,1%
TXN0145,08-04-2022,27056,6760,20296,Marketing,Africa,Operations,Clothing,SMB,PayPal,6%
TXN0146,26-04-2022,11588,22104,-10516,HR,Europe,Marketing,Healthcare,B2B,PayPal,7%
TXN0147,19-05-2023,5259,27332,-22073,R&D,South America,IT,Clothing,B2B,Cash,22%
TXN0148,08-05-2023,33045,7432,25613,R&D,South America,IT,Healthcare,SMB,Cash,28%
TXN0149,16-03-2023,17407,17514,-107,R&D,North America,Operations,Healthcare,B2B,Credit Card,21%
TXN0150,27-09-2023,38259,16161,22098,Sales,Africa,Sales,Healthcare,B2B,PayPal,4%
TXN0151,21-01-2022,48331,25382,22949,HR,Europe,IT,Healthcare,B2B,Credit Card,24%
TXN0152,02-10-2022,23211,15536,7675,R&D,Africa,Sales,Healthcare,Enterprise,Cash,12%
TXN0153,11-06-2022,47491,26615,20876,R&D,Europe,Marketing,Clothing,SMB,Cash,25%
TXN0154,25-06-2022,38633,13416,25217,HR,South America,Operations,Electronics,B2B,Cash,6%
TXN0155,26-10-2023,28666,3236,25430,R&D,North America,Marketing,Software,SMB,Cash,18%
TXN0156,23-08-2023,35912,6339,29573,R&D,South America,IT,Clothing,SMB,Credit Card,2%
TXN0157,27-06-2023,9366,20643,-11277,Sales,South America,Operations,Electronics,B2B,Credit Card,13%
TXN0158,15-09-2022,17900,8974,8926,R&D,Africa,Finance,Electronics,SMB,Cash,12%
TXN0159,01-06-2022,19550,28436,-8886,R&D,Asia-Pacific,IT,Clothing,SMB,Bank Transfer,23%
TXN0160,16-09-2022,27870,14859,13011,Sales,South America,Marketing,Electronics,SMB,Cash,13%
TXN0161,06-12-2022,15560,13470,2090,R&D,South America,IT,Furniture,B2C,Bank Transfer,18%
TXN0162,20-09-2022,26498,16419,10079,Sales,Africa,IT,Software,B2B,Credit Card,7%
TXN0163,02-06-2022,36643,12219,24424,Sales,Europe,Operations,Healthcare,B2C,Cash,1%
TXN0164,15-06-2022,15417,11520,3897,Sales,Africa,IT,Healthcare,Enterprise,Bank Transfer,15%
TXN0165,21-03-2022,40945,8745,32200,R&D,Africa,HR,Software,B2B,Cash,4%
TXN0166,22-11-2022,33205,7552,25653,Sales,Europe,Finance,Electronics,B2C,Cash,22%
TXN0167,05-02-2023,40058,9456,30602,Sales,Europe,IT,Electronics,Enterprise,Bank Transfer,26%
TXN0168,05-07-2022,33207,18999,14208,R&D,Africa,Marketing,Healthcare,SMB,Cash,15%
TXN0169,19-02-2022,29495,28823,672,R&D,North America,IT,Electronics,B2C,Cash,7%
TXN0170,23-07-2022,12429,25975,-13546,Sales,Africa,IT,Software,SMB,Cash,19%
TXN0171,15-06-2023,29180,10484,18696,R&D,Africa,IT,Healthcare,SMB,Credit Card,7%
TXN0172,08-01-2022,49011,15102,33909,Marketing,North America,HR,Healthcare,SMB,Bank Transfer,20%
TXN0173,23-03-2022,48108,6948,41160,R&D,Africa,Sales,Electronics,Enterprise,Bank Transfer,12%
TXN0174,10-04-2023,47309,11223,36086,HR,Europe,Marketing,Clothing,B2C,Bank Transfer,9%
TXN0175,02-12-2022,47724,5951,41773,Sales,South America,Marketing,Healthcare,B2B,Credit Card,8%
TXN0176,14-05-2022,42327,8129,34198,HR,Europe,Marketing,Healthcare,Enterprise,Bank Transfer,7%
TXN0177,14-06-2022,28707,11786,16921,R&D,Africa,IT,Electronics,SMB,PayPal,25%
TXN0178,23-06-2022,21812,4797,17015,Sales,Africa,Sales,Clothing,Enterprise,Cash,0%
TXN0179,07-02-2023,28901,24024,4877,HR,North America,IT,Clothing,Enterprise,Bank Transfer,5%
TXN0180,14-06-2023,34017,7362,26655,R&D,Asia-Pacific,IT,Software,B2B,Cash,12%
TXN0181,09-09-2023,39055,4437,34618,Marketing,Europe,Operations,Software,SMB,Credit Card,2%
TXN0182,24-05-2023,35883,19298,16585,Operations,North America,Finance,Healthcare,SMB,PayPal,10%
TXN0183,16-08-2022,14903,14384,519,R&D,Asia-Pacific,Sales,Furniture,SMB,Credit Card,19%
TXN0184,10-10-2023,34117,8650,25467,R&D,Africa,Marketing,Clothing,Enterprise,Cash,5%
TXN0185,02-10-2022,31398,16333,15065,R&D,North America,Sales,Electronics,Enterprise,Credit Card,29%
TXN0186,22-06-2022,20206,27855,-7649,Operations,Asia-Pacific,HR,Electronics,SMB,Cash,23%
TXN0187,12-11-2023,21815,9290,12525,R&D,Africa,Sales,Software,SMB,Cash,20%
TXN0188,02-05-2023,45922,26257,19665,R&D,Africa,Marketing,Healthcare,SMB,Bank Transfer,0%
TXN0189,07-04-2023,27657,17685,9972,Marketing,Africa,IT,Software,SMB,Bank Transfer,11%
TXN0190,09-09-2022,41139,21196,19943,R&D,Africa,Sales,Clothing,SMB,Cash,6%
TXN0191,12-04-2023,26140,12884,13256,R&D,North America,Sales,Healthcare,SMB,Credit Card,7%
TXN0192,04-02-2022,15432,21761,-6329,Sales,Europe,Sales,Clothing,SMB,Cash,29%
TXN0193,10-12-2023,6507,10428,-3921,HR,Europe,IT,Healthcare,SMB,Bank Transfer,19%
TXN0194,02-03-2023,37188,27806,9382,Marketing,North America,Finance,Electronics,B2B,Cash,1%
TXN0195,08-07-2023,23562,23925,-363,R&D,North America,Marketing,Healthcare,Enterprise,Cash,14%
TXN0196,13-06-2023,16308,19811,-3503,R&D,Asia-Pacific,Sales,Furniture,Enterprise,Credit Card,17%
TXN0197,04-10-2022,10280,12231,-1951,R&D,North America,HR,Healthcare,B2B,Cash,18%
TXN0198,06-09-2022,13830,17772,-3942,Marketing,Asia-Pacific,IT,Clothing,B2B,Credit Card,2%
TXN0199,25-10-2023,31284,28996,2288,R&D,Africa,IT,Healthcare,SMB,Cash,16%
TXN0200,13-06-2023,14113,5981,8132,R&D,Africa,IT,Electronics,Enterprise,Credit Card,3%
TXN0201,17-12-2023,21875,5372,16503,Sales,North America,IT,Healthcare,SMB,Credit Card,15%
TXN0202,12-10-2022,40559,9388,31171,Sales,Africa,Finance,Healthcare,B2B,Credit Card,11%
TXN0203,26-08-2023,29734,15113,14621,Sales,Africa,Sales,Software,B2B,Bank Transfer,16%
TXN0204,17-06-2023,46305,16344,29961,R&D,North America,IT,Healthcare,SMB,Cash,11%
TXN0205,16-09-2023,32863,21403,11460,R&D,Asia-Pacific,Sales,Electronics,SMB,Cash,24%
TXN0206,05-12-2022,37445,12734,24711,HR,Africa,Marketing,Furniture,SMB,PayPal,27%
TXN0207,26-10-2022,33675,18676,14999,R&D,Africa,Sales,Healthcare,SMB,PayPal,27%
TXN0208,12-04-2023,13090,6232,6858,R&D,Africa,IT,Healthcare,B2B,Cash,11%
TXN0209,10-08-2022,28305,10221,18084,R&D,North America,IT,Electronics,B2B,PayPal,0%
TXN0210,02-09-2022,41726,7567,34159,HR,Africa,Marketing,Healthcare,Enterprise,Credit Card,28%
TXN0211,13-02-2023,22619,25392,-2773,R&D,Africa,IT,Electronics,B2C,PayPal,17%
TXN0212,22-12-2023,32948,11168,21780,R&D,North America,Marketing,Furniture,SMB,Credit Card,6%
TXN0213,19-05-2023,37089,18880,18209,Operations,Africa,Operations,Software,B2B,Cash,11%
TXN0214,08-09-2022,39447,21201,18246,Operations,Africa,IT,Healthcare,B2B,Cash,14%
TXN0215,22-12-2023,16270,17211,-941,R&D,North America,IT,Healthcare,SMB,PayPal,13%
TXN0216,30-08-2023,27287,5535,21752,Marketing,Asia-Pacific,Operations,Healthcare,B2B,Cash,7%
TXN0217,31-10-2022,11301,21433,-10132,Sales,Africa,IT,Software,SMB,Cash,27%
TXN0218,16-05-2022,43906,8338,35568,Marketing,Asia-Pacific,Sales,Clothing,B2B,PayPal,8%
TXN0219,16-02-2023,11907,16736,-4829,Operations,Africa,Operations,Software,SMB,Cash,11%
TXN0220,17-10-2023,8313,15082,-6769,Operations,Europe,IT,Software,B2C,Cash,10%
TXN0221,19-02-2022,15176,4115,11061,Sales,North America,IT,Furniture,SMB,Credit Card,17%
TXN0222,22-10-2023,16711,15885,826,HR,Africa,IT,Healthcare,B2B,Credit Card,3%
TXN0223,07-05-2022,24362,23901,461,R&D,Africa,Finance,Healthcare,B2C,Cash,24%
TXN0224,28-07-2022,25328,14858,10470,Marketing,North America,IT,Clothing,B2B,Cash,15%
TXN0225,21-07-2023,7958,27901,-19943,R&D,Europe,Marketing,Healthcare,B2B,Cash,2%
TXN0226,26-03-2022,14275,9471,4804,R&D,Europe,IT,Furniture,Enterprise,Bank Transfer,25%
TXN0227,25-10-2022,42320,25474,16846,Operations,Europe,IT,Healthcare,SMB,Cash,17%
TXN0228,17-06-2022,28345,3785,24560,R&D,North America,HR,Healthcare,B2B,Cash,21%
TXN0229,17-11-2023,31239,12111,19128,R&D,Africa,HR,Healthcare,B2C,Credit Card,24%
TXN0230,02-12-2023,9474,22428,-12954,Sales,South America,IT,Healthcare,SMB,Bank Transfer,26%
TXN0231,15-11-2023,20792,9085,11707,Operations,South America,HR,Electronics,SMB,PayPal,25%
TXN0232,02-01-2022,42551,13188,29363,R&D,Europe,Operations,Furniture,B2B,Credit Card,23%
TXN0233,27-08-2023,43971,9427,34544,HR,South America,Sales,Healthcare,B2B,Bank Transfer,17%
TXN0234,04-11-2022,7661,18442,-10781,Operations,North America,IT,Electronics,SMB,Bank Transfer,24%
TXN0235,08-10-2023,39768,26413,13355,Sales,Africa,IT,Healthcare,SMB,Cash,12%
TXN0236,25-09-2022,14387,18240,-3853,Operations,North America,Marketing,Healthcare,B2B,Cash,20%
TXN0237,01-04-2022,37967,13567,24400,R&D,Africa,Operations,Healthcare,B2C,Bank Transfer,29%
TXN0238,08-12-2022,13189,29060,-15871,R&D,Africa,IT,Software,Enterprise,Cash,4%
TXN0239,10-02-2022,18206,14916,3290,Operations,Africa,IT,Electronics,B2C,Cash,10%
TXN0240,26-07-2023,40873,26027,14846,R&D,Europe,IT,Electronics,SMB,Cash,4%
TXN0241,11-08-2022,46316,19498,26818,Sales,Africa,Operations,Clothing,SMB,Credit Card,1%
TXN0242,18-07-2023,21344,26101,-4757,R&D,Africa,Marketing,Clothing,B2C,Bank Transfer,1%
TXN0243,21-10-2023,46300,18594,27706,Sales,South America,HR,Electronics,B2B,Cash,3%
TXN0244,16-12-2023,32674,28693,3981,R&D,Europe,HR,Electronics,SMB,Cash,1%
TXN0245,26-05-2022,31935,3763,28172,R&D,North America,IT,Electronics,SMB,Cash,8%
TXN0246,08-10-2023,15397,15816,-419,Operations,Asia-Pacific,IT,Software,B2C,Cash,16%
TXN0247,26-10-2022,24214,15625,8589,Marketing,Africa,Operations,Electronics,SMB,Credit Card,9%
TXN0248,01-10-2023,12634,13244,-610,Marketing,Asia-Pacific,IT,Healthcare,B2B,Cash,25%
TXN0249,07-06-2022,6938,21717,-14779,HR,South America,HR,Healthcare,B2B,Cash,18%
TXN0250,19-05-2022,43004,26383,16621,Sales,Africa,Marketing,Software,SMB,Cash,16%
TXN0251,18-07-2023,19724,4012,15712,HR,Europe,Marketing,Healthcare,Enterprise,Credit Card,1%
TXN0252,04-08-2023,46107,4930,41177,HR,Africa,Marketing,Furniture,SMB,Cash,25%
TXN0253,04-02-2022,10537,25993,-15456,R&D,Africa,IT,Healthcare,SMB,Cash,10%
TXN0254,01-04-2023,28062,14536,13526,Sales,Europe,Marketing,Healthcare,B2B,Cash,11%
TXN0255,22-12-2023,42159,29731,12428,Operations,Europe,Finance,Clothing,B2C,Bank Transfer,9%
TXN0256,05-02-2022,13031,26411,-13380,R&D,Europe,Operations,Software,Enterprise,Bank Transfer,16%
TXN0257,22-06-2023,38196,17413,20783,R&D,Asia-Pacific,Sales,Clothing,SMB,Credit Card,7%
TXN0258,20-05-2022,11435,22892,-11457,Operations,Africa,IT,Electronics,Enterprise,Bank Transfer,22%
TXN0259,06-04-2022,7928,8073,-145,R&D,Africa,Sales,Electronics,Enterprise,Cash,26%
TXN0260,15-07-2023,30452,23009,7443,R&D,Africa,IT,Software,B2B,Cash,21%
TXN0261,24-04-2023,27888,29889,-2001,Sales,North America,Finance,Software,SMB,Cash,12%
TXN0262,05-01-2022,38061,5203,32858,Operations,South America,IT,Healthcare,SMB,Bank Transfer,19%
TXN0263,06-06-2023,11091,16505,-5414,Operations,Europe,IT,Healthcare,B2C,Cash,29%
TXN0264,09-05-2022,19880,19375,505,R&D,Europe,IT,Software,B2C,Credit Card,13%
TXN0265,08-07-2023,5303,14883,-9580,R&D,Africa,Marketing,Software,SMB,Cash,13%
TXN0266,17-06-2023,22617,14128,8489,R&D,Asia-Pacific,Operations,Clothing,SMB,Cash,29%
TXN0267,12-09-2022,8710,3356,5354,R&D,Africa,IT,Healthcare,SMB,Cash,22%
TXN0268,15-08-2023,20926,21123,-197,R&D,Africa,HR,Software,Enterprise,PayPal,15%
